time,ID,acceleration,velocity,position,collisions
2.0000000000000004,4,0.04000000000000001,"Point(-20.336537491326727, 4.8892022727499755)","Point(66.46733031176878, 73.53009616064242)",0
2.0000000000000004,5,0.04000000000000001,"Point(-20.336537491326727, 4.8892022727499755)","Point(96.46733031176879, 73.53009616064242)",0
2.0000000000000004,6,-4.18,"Point(-23.855999999999998, 2.9215174040459255e-15)","Point(189.99220000000003, 57.5)",0
2.0000000000000004,7,-4.12,"Point(-24.176000000000002, 2.9607061016186415e-15)","Point(232.4824, 62.5)",0
2.1000000000000005,1,0.04000000000000001,"Point(-20.662289672814246, 3.2735585341818494)","Point(74.49085170266405, 68.28280909250482)",0
2.1000000000000005,2,0.04000000000000001,"Point(-20.662289672814246, 3.2735585341818494)","Point(94.49085170266406, 62.78280909250482)",0
2.1000000000000005,3,0.04000000000000001,"Point(-20.662289672814243, -3.2735585341818436)","Point(84.49085170266405, 66.7171909074952)",0
2.1000000000000005,4,0.04000000000000001,"Point(-20.662289672814246, 3.2735585341818494)","Point(64.39085170266405, 73.78280909250482)",0
2.1000000000000005,5,0.04000000000000001,"Point(-20.662289672814246, 3.2735585341818494)","Point(94.39085170266407, 73.78280909250482)",0
2.1000000000000005,6,-4.18,"Point(-23.438, 2.8703271678415665e-15)","Point(187.62750000000003, 57.5)",0
2.1000000000000005,7,-4.12,"Point(-23.764000000000003, 2.9102506534937705e-15)","Point(230.08540000000002, 62.5)",0
2.2000000000000006,1,0.04000000000000001,"Point(-20.8598929328045, 1.6366559907121927)","Point(72.40052214407709, 68.37125781492445)",0
2.2000000000000006,2,0.04000000000000001,"Point(-20.8598929328045, 1.6366559907121927)","Point(92.4005221440771, 62.87125781492445)",0
2.2000000000000006,3,0.04000000000000001,"Point(-20.85989293280449, -1.636655990712187)","Point(82.40052214407709, 66.62874218507557)",0
2.2000000000000006,4,0.04000000000000001,"Point(-20.8598929328045, 1.6366559907121927)","Point(62.30052214407709, 73.87125781492445)",0
2.2000000000000006,5,0.04000000000000001,"Point(-20.8598929328045, 1.6366559907121927)","Point(92.3005221440771, 73.87125781492445)",0
2.2000000000000006,6,-4.18,"Point(-23.02, 2.819136931637207e-15)","Point(185.30460000000002, 57.5)",0
2.2000000000000006,7,-4.12,"Point(-23.352000000000004, 2.8597952053689e-15)","Point(227.72960000000003, 62.5)",0
2.3000000000000007,1,0.04000000000000001,"Point(-20.927996919926336, -0.01135427474243369)","Point(70.30931943728763, 68.29479868128803)",0
2.3000000000000007,2,0.04000000000000001,"Point(-20.927996919926336, -0.01135427474243369)","Point(90.30931943728764, 62.79479868128803)",0
2.3000000000000007,3,0.04000000000000001,"Point(-20.92799691992633, 0.011354274742438813)","Point(80.30931943728763, 66.70520131871199)",0
2.3000000000000007,4,0.04000000000000001,"Point(-20.927996919926336, -0.01135427474243369)","Point(60.209319437287625, 73.79479868128803)",0
2.3000000000000007,5,0.04000000000000001,"Point(-20.927996919926336, -0.01135427474243369)","Point(90.20931943728765, 73.79479868128803)",0
2.3000000000000007,6,-4.18,"Point(-22.602, 2.7679466954328477e-15)","Point(183.0235, 57.5)",0
2.3000000000000007,7,-4.12,"Point(-22.940000000000005, 2.809339757244029e-15)","Point(225.41500000000002, 62.5)",0
2.400000000000001,1,-0.06,"Point(-20.92199692080938, -0.011351019503115331)","Point(68.21681974525085, 68.29366341657575)",0
2.400000000000001,2,0.04000000000000001,"Point(-20.867843745248862, 1.63759623347122)","Point(88.2299789475069, 63.03352892143023)",0
2.400000000000001,3,0.04000000000000001,"Point(-20.866054538081514, 1.6602385412369782)","Point(78.23023921292926, 66.94618766828806)",0
2.400000000000001,4,-0.06,"Point(-20.92199692080938, -0.011351019503115331)","Point(58.11681974525084, 73.79366341657575)",0
2.400000000000001,5,0.04000000000000001,"Point(-20.86605453808152, -1.6602385412369736)","Point(88.13023921292928, 73.55381233171195)",0
2.400000000000001,6,-4.18,"Point(-22.184, 2.7167564592284884e-15)","Point(180.7842, 57.5)",0
2.400000000000001,7,-4.12,"Point(-22.528000000000006, 2.758884309119158e-15)","Point(223.1416, 62.5)",0
2.500000000000001,1,-0.06,"Point(-20.91599692169243, -0.01134776426379697)","Point(66.12492005312575, 68.2925284773874)",0
2.500000000000001,2,0.04000000000000001,"Point(-20.677895045375568, 3.277308727055434)","Point(86.17551660171515, 63.43540953768818)",0
2.500000000000001,3,0.04000000000000001,"Point(-20.674326731432725, 3.299743960062228)","Point(76.17621414906115, 67.35029730316656)",0
2.500000000000001,4,-0.06,"Point(-20.91599692169243, -0.01134776426379697)","Point(56.02492005312575, 73.7925284773874)",0
2.500000000000001,5,0.04000000000000001,"Point(-20.674326731432732, -3.299743960062224)","Point(86.07621414906117, 73.14970269683346)",0
2.500000000000001,6,-4.18,"Point(-21.766000000000002, 2.6655662230241294e-15)","Point(178.5867, 57.5)",0
2.500000000000001,7,-4.12,"Point(-22.116000000000007, 2.7084288609942873e-15)","Point(220.9094, 62.5)",0
2.600000000000001,1,-0.06,"Point(-20.909996922575477, -0.011344509024478611)","Point(64.03362036091235, 68.29139386372299)",0
2.600000000000001,2,0.04000000000000001,"Point(-20.35920849380332, 4.89757383873362)","Point(84.15872421432545, 63.99803455150022)",0
2.600000000000001,3,0.04000000000000001,"Point(-20.353882250830466, 4.9196623176117935)","Point(74.16003344188753, 67.91511036606518)",0
2.600000000000001,4,-0.06,"Point(-20.909996922575477, -0.011344509024478611)","Point(53.93362036091235, 73.79139386372299)",0
