time,ID,acceleration,velocity,position,collisions
0.7999999999999999,6,-0.06,"Point(-24.958, 3.056473481311964e-15)","Point(219.7647, 72.5)",0
0.8999999999999999,1,-4.12,"Point(-21.704000000000008, 2.6579734128694163e-15)","Point(98.6184, 62.5)",0
0.8999999999999999,2,-4.12,"Point(-21.704000000000008, 2.6579734128694163e-15)","Point(118.71840000000002, 57.0)",0
0.8999999999999999,3,-4.12,"Point(-21.704000000000008, 2.6579734128694163e-15)","Point(108.7684, 72.5)",0
0.8999999999999999,4,-4.12,"Point(-21.704000000000008, 2.6579734128694163e-15)","Point(88.7684, 68.0)",0
0.8999999999999999,5,-4.12,"Point(-21.704000000000008, 2.6579734128694163e-15)","Point(118.6684, 68.0)",0
0.8999999999999999,6,-0.06,"Point(-24.951999999999998, 3.0557386932324756e-15)","Point(217.2692, 72.5)",0
0.9999999999999999,1,-4.12,"Point(-21.29200000000001, 2.6075179647445453e-15)","Point(96.4686, 62.5)",0
0.9999999999999999,2,-4.12,"Point(-21.29200000000001, 2.6075179647445453e-15)","Point(116.56860000000002, 57.0)",0
0.9999999999999999,3,-4.12,"Point(-21.29200000000001, 2.6075179647445453e-15)","Point(106.6186, 72.5)",0
0.9999999999999999,4,-4.12,"Point(-21.29200000000001, 2.6075179647445453e-15)","Point(86.6186, 68.0)",0
0.9999999999999999,5,-4.12,"Point(-21.29200000000001, 2.6075179647445453e-15)","Point(116.5186, 68.0)",0
0.9999999999999999,6,-0.06,"Point(-24.945999999999998, 3.055003905152987e-15)","Point(214.7743, 72.5)",0
1.0999999999999999,1,-4.12,"Point(-20.88000000000001, 2.5570625166196747e-15)","Point(94.36, 62.5)",0
1.0999999999999999,2,-4.12,"Point(-20.88000000000001, 2.5570625166196747e-15)","Point(114.46000000000002, 57.0)",0
1.0999999999999999,3,-4.12,"Point(-20.88000000000001, 2.5570625166196747e-15)","Point(104.51, 72.5)",0
1.0999999999999999,4,-4.12,"Point(-20.88000000000001, 2.5570625166196747e-15)","Point(84.51, 68.0)",0
1.0999999999999999,5,-4.12,"Point(-20.88000000000001, 2.5570625166196747e-15)","Point(114.41000000000001, 68.0)",0
1.0999999999999999,6,-0.06,"Point(-24.939999999999998, 3.0542691170734988e-15)","Point(212.28, 72.5)",0
1.2,1,0.04000000000000001,"Point(-20.81939855335779, 1.6413713402042833)","Point(92.28553608246034, 62.73912067000998)",0
